plf_effet;numero;sens;statut;justification
2006;550103;sortie;inexplique;
2006;570103;sortie;inexplique;
2006;570201;sortie;inexplique;
2006;570203;sortie;inexplique;
2006;580101;sortie;inexplique;
2006;590104;sortie;inexplique;
2006;730102;sortie;inexplique;
2006;740104;sortie;inexplique;
2006;800405;sortie;inexplique;
2007;050101;entree;inexplique;
2007;050102;entree;inexplique;
2007;050103;entree;inexplique;
2007;050104;entree;inexplique;
2007;050105;entree;inexplique;
2007;050106;entree;inexplique;
2007;050107;entree;inexplique;
2007;050108;entree;inexplique;
2007;050201;entree;inexplique;
2007;050202;entree;inexplique;
2007;050203;entree;inexplique;
2007;050204;entree;inexplique;
2007;060101;entree;inexplique;
2007;060102;entree;inexplique;
2007;060103;entree;inexplique;
2007;060104;entree;inexplique;
2007;060105;entree;inexplique;
2007;060106;entree;inexplique;
2007;060107;entree;inexplique;
2007;060201;entree;inexplique;
2007;060202;entree;inexplique;
2007;060203;entree;inexplique;
2007;070101;entree;inexplique;
2007;070201;entree;inexplique;
2007;070202;entree;inexplique;
2007;080101;entree;inexplique;
2007;080102;entree;inexplique;
2007;080103;entree;inexplique;
2007;080104;entree;inexplique;
2007;080105;entree;inexplique;
2007;080106;entree;inexplique;
2007;080107;entree;inexplique;
2007;080201;entree;inexplique;
2007;080202;entree;inexplique;
2007;080203;entree;inexplique;
2007;080204;entree;inexplique;
2007;080205;entree;inexplique;
2007;080206;entree;inexplique;
2007;080207;entree;inexplique;
2007;100113;entree;inexplique;
2007;110235;entree;inexplique;
2007;110236;entree;inexplique;
2007;110237;entree;inexplique;
2007;110238;entree;inexplique;
2007;110239;entree;inexplique;
2007;110240;entree;inexplique;
2007;110241;entree;inexplique;
2007;110242;entree;inexplique;
2007;120134;entree;inexplique;
2007;120207;entree;inexplique;
2007;120507;entree;inexplique;
2007;130211;entree;inexplique;
2007;130212;entree;inexplique;
2007;130213;entree;inexplique;
2007;130214;entree;inexplique;
2007;130215;entree;inexplique;
2007;130216;entree;inexplique;
2007;140125;entree;inexplique;
2007;150405;entree;inexplique;
2007;150515;entree;inexplique;
2007;150710;entree;inexplique;
2007;160204;entree;inexplique;
2007;160406;entree;inexplique;
2007;170306;entree;inexplique;
2007;170401;entree;inexplique;
2007;170501;entree;inexplique;
2007;180104;entree;inexplique;
2007;190208;entree;inexplique;
2007;190209;entree;inexplique;
2007;210316;entree;inexplique;
2007;210317;entree;inexplique;
2007;210318;entree;inexplique;
2007;220202;entree;inexplique;
2007;300208;entree;inexplique;
2007;320126;entree;inexplique;
2007;320127;entree;inexplique;
2007;320128;entree;inexplique;
2007;320129;entree;inexplique;
2007;350101;entree;inexplique;
2007;400112;entree;inexplique;
2007;520118;entree;inexplique;
2007;520206;entree;inexplique;
2007;520207;entree;inexplique;
2007;550103;entree;inexplique;
2007;580102;entree;inexplique;
2007;730216;entree;inexplique;
2007;730218;entree;inexplique;
2007;800111;entree;inexplique;
2007;110204;sortie;inexplique;
2007;120125;sortie;inexplique;
2007;120305;sortie;inexplique;
2007;140108;sortie;inexplique;
2007;150102;sortie;inexplique;
2007;150103;sortie;inexplique;
2007;150110;sortie;inexplique;
2007;150203;sortie;inexplique;
2007;150401;sortie;inexplique;
2007;150402;sortie;inexplique;
2007;150501;sortie;inexplique;
2007;160202;sortie;inexplique;
2007;170305;sortie;inexplique;
2007;180303;sortie;inexplique;
2007;210105;sortie;inexplique;
2007;210107;sortie;inexplique;
2007;210310;sortie;inexplique;
2007;230302;sortie;inexplique;
2007;300301;sortie;inexplique;
2007;420102;sortie;inexplique;
2007;720103;sortie;inexplique;
2007;720207;sortie;inexplique;
2007;800110;sortie;inexplique;
2007;930101;sortie;inexplique;
2008;080108;entree;inexplique;
2008;080109;entree;inexplique;
2008;080110;entree;inexplique;
2008;080111;entree;inexplique;
2008;110243;entree;inexplique;
2008;110244;entree;inexplique;
2008;110245;entree;inexplique;
2008;110246;entree;inexplique;
2008;110247;entree;inexplique;
2008;120135;entree;inexplique;
2008;120136;entree;inexplique;
2008;120208;entree;inexplique;
2008;120508;entree;inexplique;
2008;130301;entree;inexplique;
2008;130302;entree;inexplique;
2008;150119;entree;inexplique;
2008;150516;entree;inexplique;
2008;150711;entree;inexplique;
2008;160205;entree;inexplique;
2008;180308;entree;inexplique;
2008;200309;entree;inexplique;
2008;210319;entree;inexplique;
2008;220102;entree;inexplique;
2008;220301;entree;inexplique;
2008;230203;entree;inexplique;
2008;230204;entree;inexplique;
2008;230304;entree;inexplique;
2008;230411;entree;inexplique;
2008;300209;entree;inexplique;
2008;320130;entree;inexplique;
2008;320131;entree;inexplique;
2008;320132;entree;inexplique;
2008;320133;entree;inexplique;
2008;320134;entree;inexplique;
2008;320135;entree;inexplique;
2008;320137;entree;inexplique;
2008;400202;entree;inexplique;
2008;400203;entree;inexplique;
2008;410114;entree;inexplique;
2008;420105;entree;inexplique;
2008;420106;entree;inexplique;
2008;420107;entree;inexplique;
2008;430101;entree;inexplique;
2008;520119;entree;inexplique;
2008;520120;entree;inexplique;
2008;520121;entree;inexplique;
2008;520208;entree;inexplique;
2008;520401;entree;inexplique;
2008;720108;entree;inexplique;
2008;740106;entree;inexplique;
2008;800112;entree;inexplique;
2008;800405;entree;inexplique;
2008;800406;entree;inexplique;
2008;080104;sortie;inexplique;
2008;130101;sortie;inexplique;
2008;130210;sortie;inexplique;
2008;140304;sortie;inexplique;
2008;150507;sortie;inexplique;
2008;180103;sortie;inexplique;
2008;210101;sortie;inexplique;
2008;220202;sortie;inexplique;
2008;230103;sortie;inexplique;
2008;230508;sortie;inexplique;
2008;300108;sortie;inexplique;
2008;340101;sortie;inexplique;
2008;340104;sortie;inexplique;
2008;340105;sortie;inexplique;
2008;410201;sortie;inexplique;
2008;420104;sortie;inexplique;
2008;520106;sortie;inexplique;
2008;520205;sortie;inexplique;
2008;700103;sortie;inexplique;
2008;700104;sortie;inexplique;
2008;720104;sortie;inexplique;
2008;720204;sortie;inexplique;
2008;720205;sortie;inexplique;
2008;730103;sortie;inexplique;
2008;730304;sortie;inexplique;
2008;800105;sortie;inexplique;
2008;800106;sortie;inexplique;
2008;940103;sortie;inexplique;
2009;080112;entree;explique;creation
2009;110248;entree;explique;creation
2009;120137;entree;explique;creation
2009;120138;entree;explique;creation
2009;120139;entree;explique;creation
2009;140308;entree;explique;creation
2009;180309;entree;explique;classement
2009;200216;entree;explique;creation
2009;250101;entree;explique;renumerotation
2009;300112;entree;explique;classement
2009;300210;entree;explique;classement
2009;300211;entree;explique;creation,renumerotation
2009;320138;entree;explique;creation
2009;320139;entree;explique;creation
2009;400113;entree;explique;creation
2009;520209;entree;explique;creation
2009;530211;entree;explique;classement
2009;530212;entree;explique;creation
2009;730219;entree;explique;creation
2009;800113;entree;explique;creation
2009;800114;entree;explique;creation
2009;800115;entree;explique;creation
2009;800116;entree;explique;creation
2009;800207;entree;explique;creation
2009;800208;entree;explique;creation
2009;950101;entree;explique;classement
2009;950102;entree;explique;classement
2009;960101;entree;explique;classement
2009;960102;entree;explique;classement
2009;080105;sortie;inexplique;
2009;100106;sortie;inexplique;
2009;100111;sortie;inexplique;
2009;110231;sortie;inexplique;
2009;120130;sortie;inexplique;
2009;130202;sortie;inexplique;
2009;130205;sortie;inexplique;
2009;140203;sortie;inexplique;
2009;140302;sortie;inexplique;
2009;140305;sortie;inexplique;
2009;150506;sortie;inexplique;
2009;150516;sortie;inexplique;
2009;150702;sortie;inexplique;
2009;160104;sortie;inexplique;
2009;160403;sortie;inexplique;
2009;160405;sortie;inexplique;
2009;170104;sortie;inexplique;
2009;170401;sortie;explique;renumerotation
2009;190203;sortie;inexplique;
2009;190204;sortie;inexplique;
2009;190205;sortie;inexplique;
2009;190206;sortie;inexplique;
2009;190207;sortie;inexplique;
2009;190209;sortie;inexplique;
2009;200301;sortie;inexplique;
2009;200303;sortie;inexplique;
2009;200306;sortie;explique;declassement
2009;210302;sortie;inexplique;
2009;210303;sortie;inexplique;
2009;210304;sortie;inexplique;
2009;210319;sortie;inexplique;
2009;220201;sortie;inexplique;
2009;230501;sortie;inexplique;
2009;230503;sortie;inexplique;
2009;230603;sortie;inexplique;
2009;240101;sortie;inexplique;
2009;320103;sortie;inexplique;
2009;320107;sortie;explique;renumerotation
2009;320124;sortie;inexplique;
2009;350101;sortie;explique;declassement
2009;410101;sortie;explique;suppression
2009;410102;sortie;explique;suppression
2009;410103;sortie;explique;suppression
2009;410104;sortie;explique;suppression
2009;410105;sortie;explique;suppression
2009;410108;sortie;inexplique;
2009;410109;sortie;inexplique;
2009;410110;sortie;inexplique;
2009;410111;sortie;inexplique;
2009;410112;sortie;inexplique;
2009;410113;sortie;inexplique;
2009;410114;sortie;inexplique;
2009;410202;sortie;inexplique;
2009;430101;sortie;explique;declassement
2009;520115;sortie;inexplique;
2009;520119;sortie;inexplique;
2009;520120;sortie;inexplique;
2009;520203;sortie;inexplique;
2009;520206;sortie;inexplique;
2009;520207;sortie;inexplique;
2009;520208;sortie;inexplique;
2009;520301;sortie;inexplique;
2009;520305;sortie;inexplique;
2009;530210;sortie;inexplique;
2009;800101;sortie;inexplique;
2009;800102;sortie;inexplique;
2009;800109;sortie;inexplique;
2009;940101;sortie;inexplique;
2009;940102;sortie;inexplique;
2010;050109;entree;explique;creation
2010;060108;entree;explique;creation
2010;080113;entree;explique;creation
2010;080208;entree;explique;creation
2010;090101;entree;explique;creation
2010;090102;entree;explique;creation
2010;090103;entree;explique;creation
2010;090104;entree;explique;creation
2010;090105;entree;explique;creation
2010;090106;entree;explique;creation
2010;090107;entree;explique;creation
2010;090108;entree;explique;creation
2010;090201;entree;explique;creation
2010;110249;entree;explique;creation
2010;110250;entree;explique;creation
2010;110251;entree;explique;creation
2010;110252;entree;explique;creation
2010;110253;entree;explique;creation
2010;110254;entree;explique;creation
2010;110255;entree;explique;creation
2010;110256;entree;explique;creation
2010;120140;entree;explique;creation
2010;120141;entree;explique;creation
2010;120142;entree;explique;classement
2010;120209;entree;explique;creation
2010;120210;entree;explique;creation
2010;120211;entree;explique;creation
2010;120308;entree;explique;classement
2010;130217;entree;explique;creation
2010;140126;entree;explique;classement
2010;150712;entree;explique;classement
2010;160206;entree;explique;creation
2010;180105;entree;explique;creation
2010;190210;entree;explique;classement
2010;210320;entree;explique;creation
2010;210321;entree;explique;creation
2010;210322;entree;explique;creation
2010;220103;entree;explique;creation
2010;320140;entree;explique;creation
2010;330106;entree;explique;creation
2010;730220;entree;explique;creation
2010;730221;entree;explique;creation
2010;730307;entree;explique;creation
2010;800209;entree;explique;classement
2010;810101;entree;explique;creation
2010;810201;entree;explique;creation
2010;920201;entree;explique;creation
2010;920202;entree;explique;creation
2010;920301;entree;explique;creation
2010;950103;entree;explique;creation
2010;970101;entree;explique;creation
2010;080112;sortie;inexplique;
2010;080205;sortie;explique;declassement
2010;100108;sortie;inexplique;
2010;140113;sortie;inexplique;
2010;200214;sortie;inexplique;
2010;210103;sortie;explique;suppression
2010;210108;sortie;explique;suppression
2010;210109;sortie;inexplique;
2010;230102;sortie;inexplique;
2010;300202;sortie;inexplique;
2010;310101;sortie;inexplique;
2010;310202;sortie;inexplique;
2010;320109;sortie;inexplique;
2010;590101;sortie;inexplique;
2011;040101;entree;explique;creation
2011;040102;entree;explique;creation
2011;040103;entree;explique;creation
2011;040105;entree;explique;creation
2011;040106;entree;explique;creation
2011;040107;entree;explique;creation
2011;040108;entree;explique;creation
2011;040109;entree;explique;creation
2011;070203;entree;explique;creation
2011;090109;entree;explique;creation
2011;100114;entree;explique;classement
2011;110257;entree;explique;creation
2011;110258;entree;explique;classement
2011;110259;entree;explique;classement
2011;120143;entree;explique;creation
2011;120144;entree;explique;creation
2011;140127;entree;explique;creation
2011;520122;entree;explique;creation
2011;100110;sortie;inexplique;
2011;100112;sortie;explique;declassement
2011;100113;sortie;inexplique;
2011;110225;sortie;inexplique;
2011;120139;sortie;explique;declassement
2011;120505;sortie;inexplique;
2011;130206;sortie;inexplique;
2011;140202;sortie;inexplique;
2011;190101;sortie;explique;declassement
2011;200215;sortie;explique;suppression
2011;250101;sortie;explique;declassement
2011;320127;sortie;inexplique;
2011;420105;sortie;inexplique;
2011;520202;sortie;inexplique;
2011;530204;sortie;inexplique;
2011;530205;sortie;inexplique;
2011;800112;sortie;inexplique;
2011;800113;sortie;inexplique;
2011;810101;sortie;explique;suppression
2011;810201;sortie;explique;suppression
2012;120139;entree;inexplique;
2012;220104;entree;explique;creation
2012;800117;entree;explique;creation
2012;820101;entree;explique;creation
2012;820102;entree;explique;creation
2012;820103;entree;explique;creation
2012;050105;sortie;inexplique;
2012;080101;sortie;inexplique;
2012;080201;sortie;inexplique;
2012;080202;sortie;inexplique;
2012;080203;sortie;inexplique;
2012;080204;sortie;inexplique;
2012;080206;sortie;inexplique;
2012;080207;sortie;inexplique;
2012;080208;sortie;inexplique;
2012;110235;sortie;inexplique;
2012;110237;sortie;inexplique;
2012;110254;sortie;inexplique;
2012;120144;sortie;explique;suppression
2012;120308;sortie;explique;declassement
2012;180104;sortie;inexplique;
2012;210314;sortie;inexplique;
2012;210317;sortie;inexplique;
2012;220301;sortie;inexplique;
2012;320133;sortie;inexplique;
2013;110260;entree;explique;creation
2013;150120;entree;explique;creation
2013;150121;entree;explique;creation
2013;150201;entree;explique;creation
2013;150406;entree;explique;creation
2013;210323;entree;explique;creation
2013;220105;entree;explique;renumerotation
2013;230510;entree;explique;creation
2013;230605;entree;explique;renumerotation
2013;320141;entree;explique;creation
2013;060101;sortie;inexplique;
2013;080102;sortie;inexplique;
2013;080103;sortie;inexplique;
2013;080106;sortie;inexplique;
2013;080107;sortie;inexplique;
2013;080108;sortie;inexplique;
2013;080109;sortie;inexplique;
2013;080110;sortie;inexplique;
2013;080111;sortie;inexplique;
2013;080113;sortie;inexplique;
2013;110230;sortie;inexplique;
2013;110232;sortie;inexplique;
2013;110253;sortie;inexplique;
2013;120115;sortie;inexplique;
2013;120210;sortie;inexplique;
2013;130216;sortie;inexplique;
2013;130301;sortie;explique;suppression
2013;160102;sortie;explique;declassement
2013;180308;sortie;inexplique;
2013;200308;sortie;explique;renumerotation
2013;220103;sortie;explique;renumerotation
2013;230411;sortie;inexplique;
2013;300112;sortie;inexplique;
2013;310203;sortie;inexplique;
2013;320106;sortie;inexplique;
2013;320120;sortie;inexplique;
2013;320130;sortie;inexplique;
2013;520117;sortie;inexplique;
2013;560103;sortie;inexplique;
2013;560104;sortie;inexplique;
2013;720101;sortie;inexplique;
2013;720102;sortie;inexplique;
2013;730209;sortie;inexplique;
2013;800104;sortie;inexplique;
2013;800402;sortie;inexplique;
2013;960101;sortie;inexplique;
2013;960102;sortie;inexplique;
2014;110261;entree;inexplique;
2014;150517;entree;explique;creation
2014;150518;entree;explique;creation
2014;170307;entree;explique;creation
2014;200214;entree;explique;creation
2014;200310;entree;inexplique;
2014;210324;entree;explique;creation
2014;520123;entree;explique;creation
2014;520402;entree;explique;creation
2014;980101;entree;inexplique;
2014;980102;entree;inexplique;
2014;980103;entree;inexplique;
2014;980104;entree;inexplique;
2014;980105;entree;inexplique;
2014;040109;sortie;inexplique;
2014;050103;sortie;inexplique;
2014;050104;sortie;inexplique;
2014;070202;sortie;inexplique;
2014;090109;sortie;inexplique;
2014;120135;sortie;inexplique;
2014;120211;sortie;inexplique;
2014;130212;sortie;inexplique;
2014;150514;sortie;inexplique;
2014;200205;sortie;inexplique;
2014;200212;sortie;inexplique;
2014;200304;sortie;inexplique;
2014;230304;sortie;inexplique;
2014;230404;sortie;inexplique;
2014;320102;sortie;inexplique;
2014;320137;sortie;inexplique;
2014;330103;sortie;inexplique;
2014;950103;sortie;inexplique;
2015;110262;entree;explique;creation
2015;210325;entree;explique;creation
2015;230606;entree;explique;creation,renumerotation
2015;320136;entree;explique;creation
2015;520124;entree;explique;creation
2015;520125;entree;explique;creation
2015;580103;entree;explique;creation
2015;730222;entree;explique;creation
2015;730223;entree;explique;creation
2015;730224;entree;explique;creation
2015;800210;entree;explique;creation
2015;040103;sortie;inexplique;
2015;090103;sortie;inexplique;
2015;110255;sortie;inexplique;
2015;140201;sortie;inexplique;
2015;150512;sortie;inexplique;
2015;200201;sortie;inexplique;
2015;200207;sortie;inexplique;
2015;200213;sortie;inexplique;
2015;200309;sortie;explique;renumerotation
2015;230204;sortie;inexplique;
2015;320111;sortie;inexplique;
2015;320123;sortie;inexplique;
2015;320125;sortie;inexplique;
2015;320126;sortie;inexplique;
2015;400201;sortie;inexplique;
2015;700101;sortie;inexplique;
2015;920202;sortie;inexplique;
2015;920301;sortie;inexplique;
2016;040109;entree;explique;creation
2016;050110;entree;explique;creation
2016;090109;entree;explique;creation
2016;110263;entree;explique;creation
2016;120402;entree;explique;creation
2016;150203;entree;inexplique;
2016;230302;entree;explique;creation
2016;230607;entree;explique;creation
2016;430101;entree;explique;creation
2016;520126;entree;explique;creation
2016;520403;entree;explique;creation
2016;800211;entree;explique;creation
2016;060105;sortie;inexplique;
2016;120114;sortie;inexplique;
2016;120136;sortie;inexplique;
2016;140306;sortie;inexplique;
2016;150517;sortie;inexplique;
2016;160203;sortie;inexplique;
2016;200102;sortie;inexplique;
2016;200305;sortie;inexplique;
2016;230405;sortie;inexplique;
2016;300105;sortie;inexplique;
2016;310201;sortie;inexplique;
2016;310205;sortie;inexplique;
2016;330106;sortie;inexplique;
2016;400301;sortie;inexplique;
2016;420106;sortie;inexplique;
2016;420107;sortie;inexplique;
2017;070204;entree;explique;creation
2017;110308;entree;explique;creation
2017;120509;entree;explique;creation
2017;140309;entree;explique;creation
2017;150713;entree;explique;creation
2017;190211;entree;explique;creation
2017;200215;entree;explique;creation
2017;200217;entree;explique;creation
2017;210204;entree;explique;creation
2017;210205;entree;inexplique;
2017;320142;entree;explique;creation
2017;320143;entree;explique;creation
2017;520127;entree;explique;creation
2017;800212;entree;explique;creation
2017;820201;entree;explique;creation
2017;820202;entree;explique;creation
2017;820203;entree;explique;creation
2017;820204;entree;explique;creation
2017;950103;entree;explique;creation
2017;040102;sortie;inexplique;
2017;090102;sortie;inexplique;
2017;120208;sortie;inexplique;
2017;120209;sortie;inexplique;
2017;150709;sortie;inexplique;
2017;150711;sortie;inexplique;
2017;180306;sortie;inexplique;
2017;180307;sortie;inexplique;
2017;230302;sortie;explique;renumerotation
2017;320131;sortie;inexplique;
2017;320132;sortie;inexplique;
2017;530209;sortie;inexplique;
2017;540101;sortie;inexplique;
2017;550101;sortie;inexplique;
2017;800116;sortie;inexplique;
2017;800204;sortie;inexplique;
2017;820101;sortie;inexplique;
2018;040110;entree;explique;creation
2018;090110;entree;explique;creation
2018;110264;entree;explique;creation
2018;120144;entree;explique;creation
2018;120145;entree;explique;creation
2018;130101;entree;explique;creation
2018;130218;entree;explique;creation
2018;190212;entree;explique;creation
2018;230411;entree;explique;creation
2018;440101;entree;explique;creation
2018;440102;entree;explique;creation
2018;440103;entree;explique;creation
2018;440201;entree;explique;creation
2018;550104;entree;explique;creation
2018;800118;entree;explique;creation
2018;800213;entree;explique;creation
2018;800214;entree;explique;creation
2018;110233;sortie;inexplique;
2018;120110;sortie;inexplique;
2018;180305;sortie;inexplique;
2018;800406;sortie;inexplique;
2018;820102;sortie;inexplique;
2018;820103;sortie;inexplique;
2018;980101;sortie;inexplique;
2018;980102;sortie;inexplique;
2018;980103;sortie;inexplique;
2018;980104;sortie;inexplique;
2018;980105;sortie;inexplique;
2019;040111;entree;explique;creation
2019;050111;entree;explique;creation
2019;060105;entree;explique;classement
2019;090111;entree;explique;creation
2019;090112;entree;explique;creation
2019;150209;entree;explique;creation
2019;170308;entree;explique;classement
2019;230608;entree;explique;creation
2019;440104;entree;explique;creation
2019;520128;entree;explique;creation
2019;540102;entree;explique;creation
2019;550105;entree;explique;creation
2019;710105;entree;explique;classement
2019;710106;entree;explique;classement
2019;710107;entree;explique;classement
2019;730225;entree;explique;classement
2019;800119;entree;explique;creation
2019;800215;entree;explique;creation
2019;800216;entree;explique;creation
2019;800217;entree;explique;creation
2019;800218;entree;explique;creation
2019;800406;entree;explique;creation
2019;990101;entree;explique;classement
2019;110227;sortie;inexplique;
2019;110243;sortie;inexplique;
2019;170501;sortie;inexplique;
2019;180304;sortie;inexplique;
2019;230506;sortie;inexplique;
2019;520124;sortie;inexplique;
2019;800107;sortie;inexplique;
2019;800206;sortie;inexplique;
2020;040112;entree;inexplique;
2020;050112;entree;inexplique;
2020;090113;entree;inexplique;
2020;110265;entree;inexplique;
2020;120146;entree;inexplique;
2020;170106;entree;inexplique;
2020;200401;entree;inexplique;
2020;200402;entree;inexplique;
2020;200403;entree;inexplique;
2020;200404;entree;inexplique;
2020;200405;entree;inexplique;
2020;210326;entree;inexplique;
2020;230102;entree;inexplique;
2020;230103;entree;inexplique;
2020;230609;entree;inexplique;
2020;730226;entree;inexplique;
2020;730227;entree;inexplique;
2020;730228;entree;inexplique;
2020;730229;entree;inexplique;
2020;730230;entree;inexplique;
2020;730231;entree;inexplique;
2020;730232;entree;inexplique;
2020;730233;entree;inexplique;
2020;800219;entree;inexplique;
2020;820205;entree;inexplique;
2020;820206;entree;inexplique;
2020;920301;entree;inexplique;
2020;990201;entree;inexplique;
2020;110214;sortie;inexplique;
2020;110234;sortie;inexplique;
2020;120307;sortie;inexplique;
2020;190210;sortie;inexplique;
2020;200206;sortie;inexplique;
2020;210204;sortie;inexplique;
2020;210205;sortie;inexplique;
2020;300104;sortie;inexplique;
2020;300302;sortie;inexplique;
2020;400101;sortie;inexplique;
2020;400107;sortie;inexplique;
2020;400108;sortie;inexplique;
2020;400109;sortie;inexplique;
2020;400110;sortie;inexplique;
2020;400111;sortie;inexplique;
2020;400112;sortie;inexplique;
2020;400113;sortie;inexplique;
2020;400202;sortie;inexplique;
2020;400203;sortie;inexplique;
2020;730203;sortie;inexplique;
2020;730204;sortie;inexplique;
2020;730215;sortie;inexplique;
2020;730219;sortie;inexplique;
